Hospital_name,Latitude,Longitude
Bệnh viện Đa khoa Hoàn Hảo Medic Cần Thơ,10.0490309,105.7766544
Beệnh viện phụ sản quốc tế Phương Châu,10.0298526,105.750559
Hội Chữ Thập Đỏ Việt Nam Thành Phố Cần Thơ,10.0443305,105.7789192
Trạm y tế phường An Thới,10.061234,105.763903
phòng chuẩn trị y học cổ truyền tư nhân TRINH vương,10.0208,105.77126
Trạm Y Tế An Phú,10.0330366,105.7797441
Phòng khám chuyên khoa Ung bướu,10.0292299,105.7717384
Trạm Y tế Xã Mỹ Khánh,9.9954674,105.7155535
Bệnh Viện Hòa Hảo,10.7626193,106.6702604
Trạm y tế Long Tuyền,10.0247709,105.719617
Chưa có tên,22.4870609,103.9789742
Công Ty Cổ Phần Dược Phẩm Thiết bị Y tế Hà Tĩnh,18.3460042,105.8903097
Nhà thuốc Thành Sen,18.3359062,105.8929872
Phòng Khám Đa Khoa Thế Giới,10.7519331,106.6843795
Columbia Asia Hospital,10.9507189,106.7070657
Bệnh viện Thanh Vũ Bạc Liêu,9.3118109,105.7146461
Trạm y tế xã Hiếu,14.6523987,108.4397431
Cổng bảo vệ hướng Nam Kỳ Khởi Nghĩa,15.9782232,108.2619988
Cổng bảo vệ hướng Hẻm 10/6 Trần Đại Nghĩa,15.979136,108.2633077
Cổng bảo vệ Sân bóng Fpt Software,15.979252,108.2610305
Bệnh viện đa khoa Hợp Lực,19.8276263,105.7786405
Chưa có tên,20.921967,105.882146
Bệnh Viện Đa Khoa Trà Ôn,9.9699732,105.9219342
Chưa có tên,15.8791223,108.3195682
Phòng khám Đa khoa Quốc tế Hà Nội,21.0101268,105.8382699
DAI GIANG,10.7704948,105.1100804
Nhà hộ sinh A,21.024432,105.8548261
bệnh viện cát lâm 2,11.5675731,107.3114917
Bệnh viện Đa khoa Tâm Trí Đà Nẵng,16.02277,108.2143058
Nguyễn Hồng Trang ( Kế Toán Trưởng BV Cư Jut,12.5828235,107.9002105
Trạm Y tế xã Nghĩa Hương,20.9727604,105.6144225
Bệnh Viện Sài Gòn ITO,10.7950017,106.6672345
Phòng Khám Đa Khoa Hữu Nghị,10.848021,106.6783081
Vinmec Marina,20.8228435,106.6875837
Dana Dental - Nha Khoa Đà Nẵng,16.0619222,108.2139467
Bệnh Viện Đa Khoa Thành An - Thăng Long,21.1744345,106.0543626
Hopital,16.5519586,107.4406861
Chưa có tên,10.7480919,106.5849097
Trạm YT xã TS,9.7392039,106.2598543
Bác sĩ Nhiên,9.7383025,106.2613698
Phòng khám đa khoa quốc tế Nhân Hậu,10.7585783,106.6617832
An trà,10.4029034,104.8983188
Lăm trường,10.343133,104.8571901
Phòng Khám Đa Khoa An Phúc,10.7587193,106.6621153
Trạm Y Tế Phường 7 Quận Phú Nhuận,10.8037745,106.6866028
Phòng khám ACC Đà Nẵng,16.0556207,108.2220154
Bệnh viện Đa khoa Xuyên Á,10.2604931,105.9406182
Chưa có tên,10.4092189,104.030029
Bệnh viện Đa khoa Sài Gòn – Nam Định,20.4366506,106.1578586
Bệnh viện đa khoa Yên Bình,21.4050891,105.8743812
Tree Spa,12.6741148,108.0456056
Chưa có tên,16.4869905,107.571484
Trạm Y tế Phụng Châu,20.9471543,105.7078282
Trạm Y Tế xã Đại Chánh,15.8098343,108.0377451
Thien Nhan Hospital,16.076597,108.2158614
Phòng Khám Đa Khoa Bảo An,21.0006572,106.5390806
Huong Dat Dental Clinic,16.0691553,108.183752
Thẩm mỹ viện Hoàn Mỹ Cần Thơ,9.9778596,105.8144205
Trung tâm Chăm sóc Sức khoẻ Người cao tuổi Hoa Sen - Lotus Care,21.039913,105.7472566
Nha Khoa,21.0651797,105.7628554
Phòng Khám Đa Khoa Medlatec,21.0472605,105.8140405
Trung tâm tiêm ᴄhủng Fivevac,20.9301069,105.8481456
Bệnh viện Y Tế Phúc Thái,21.4535845,105.862155
Trung tâm Y tế huyện Đồng Hỷ,21.631086,105.8443464
Chưa có tên,21.4054327,105.8750175
Bệnh Viện Minh Đức,10.2398715,106.3675519
Nhà thuốc Thanh Nhàn,16.4669155,107.5734018
"Nấm Lim Xanh, Sâm Ngọc Linh",15.4856805,108.311425
Bệnh viện Đa khoa Thiện Nhân,21.1531635,106.1555431
Bệnh viện Đa khoa Tân Hưng,10.7515951,106.696342
Bệnh Viện Hoà Hảo,10.8699419,106.7631673
Bệnh Viện Đa Khoa Quốc Tế Bắc Hà,21.0431119,105.8711851
Trạm Y Tế Phường KIến Hưng,20.960142,105.7884888
Bệnh viện Đa khoa Tâm Trí Sài Gòn,10.8317212,106.6218645
Trạm Y Tế Xã Kim An,20.8487843,105.7573208
Bệnh Viện Đa khoa An Phú,10.9475149,106.7371674
Bệnh Viện Hoàn Hảo 2,10.8910082,106.7273892
Bệnh viện Gia An 115,10.7405442,106.607722
Thu Cúc TCI Thanh Xuân,20.9992267,105.8141044
Chưa có tên,20.8559832,106.682623
Trạm Y Tế Lương Nội,20.3552675,105.3749752
Trung tâm Nghiên cứu và Ứng dụng Y học cổ truyền CTA,21.0511017,105.790782
Bệnh viện Tuệ Tĩnh,20.984612,105.7928536
Bệnh viện Quận 1 (cơ sở 2),10.7651115,106.6932273
Chưa có tên,20.9777275,105.9018259
BỆNH VIỆN MẮT,10.7441887,106.7275329
Chưa có tên,21.0689223,105.7616027
Phòng khám đa khoa YHCT Thiên Phúc Đường,10.8558331,106.7665022
Trạm y tế Khương Hạ,20.9920389,105.8166469
Bệnh Viện Tâm Thần tỉnh Bến Tre,10.2690607,106.3916986
Bệnh Viện YHCT Trần Văn An,10.2453373,106.3628742
Trạm y tế xã An Linh,11.3590399,106.7256654
Chưa có tên,20.9245983,105.8885189
Nhà thuốc đông y Bùi Tộc,20.924333,105.8908793
Bệnh viện Đại học Quốc gia Hà Nội,20.9908736,105.7965721
188 Beauty Spa quận 12 | Viện thẩm mỹ hàng đầu tpHCM,10.8763131,106.6406947
Trung Tâm Y Tế Huyện Nhơn Trạch Tram Y Tế Xã Phước Khánh,10.6798522,106.7874696
Bệnh viện đa khoa Hồng Hưng,11.2908098,106.1195624
Trạm Y Tế Xã Bình Trinh Đông,10.5393794,106.5156639
Bệnh viện Quốc tế Dolife,21.0334322,105.7714164
Bệnh viện Cần Đước,10.5145217,106.6042986
Trạm y tế xã Phước Đông,10.4886683,106.6222104
Trạm Y Tế Xã Tân Ân,10.4953379,106.5962387
Trạm Y Tế Xã An Hòa,10.8888316,106.8616285
